segment_id,source_line_no,original_start_sec,original_end_sec,original_duration_sec,cut_start_sec,cut_end_sec,cut_duration_sec,ici,file_name,file_path
2469,2470,4371.101359,4371.331266,0.22990699999991193,4371.081359,4371.351266000001,0.26990700000078505,50.0,click_train_02469_start_4371.101s_ici_50.0.wav,/Users/nfot413/dolphin_project/official_click_features/segments/click_train_02469_start_4371.101s_ici_50.0.wav
2470,2471,4371.431016,4372.125495,0.6944789999997738,4371.411016,4372.145495000001,0.7344790000006469,45.0,click_train_02470_start_4371.431s_ici_45.0.wav,/Users/nfot413/dolphin_project/official_click_features/segments/click_train_02470_start_4371.431s_ici_45.0.wav
2471,2472,4372.125495,4372.257797,0.1323019999999815,4372.105495,4372.277797000001,0.1723020000008546,20.0,click_train_02471_start_4372.125s_ici_20.0.wav,/Users/nfot413/dolphin_project/official_click_features/segments/click_train_02471_start_4372.125s_ici_20.0.wav
2472,2473,4372.338536,4372.625245,0.28670899999997346,4372.318536,4372.645245000001,0.32670900000084657,40.0,click_train_02472_start_4372.339s_ici_40.0.wav,/Users/nfot413/dolphin_project/official_click_features/segments/click_train_02472_start_4372.339s_ici_40.0.wav
2473,2474,4373.264536,4373.475635,0.21109900000010384,4373.244535999999,4373.495635,0.25109900000097696,5.0,click_train_02473_start_4373.265s_ici_5.0.wav,/Users/nfot413/dolphin_project/official_click_features/segments/click_train_02473_start_4373.265s_ici_5.0.wav
2474,2475,4373.475635,4373.577911,0.10227600000052917,4373.455634999999,4373.597911000001,0.14227600000140228,15.0,click_train_02474_start_4373.476s_ici_15.0.wav,/Users/nfot413/dolphin_project/official_click_features/segments/click_train_02474_start_4373.476s_ici_15.0.wav
2475,2476,4373.880729,4374.072172,0.19144299999970826,4373.860729,4374.092172000001,0.23144300000058138,5.0,click_train_02475_start_4373.881s_ici_5.0.wav,/Users/nfot413/dolphin_project/official_click_features/segments/click_train_02475_start_4373.881s_ici_5.0.wav
2476,2477,4374.107271,4374.193167,0.08589600000050268,4374.087270999999,4374.213167000001,0.1258960000013758,5.0,click_train_02476_start_4374.107s_ici_5.0.wav,/Users/nfot413/dolphin_project/official_click_features/segments/click_train_02476_start_4374.107s_ici_5.0.wav
2477,2478,4374.193167,4374.365177,0.1720099999993181,4374.173167,4374.385177,0.2120100000001912,5.0,click_train_02477_start_4374.193s_ici_5.0.wav,/Users/nfot413/dolphin_project/official_click_features/segments/click_train_02477_start_4374.193s_ici_5.0.wav
2478,2479,4374.723974,4376.000823,1.2768489999998565,4374.703974,4376.020823000001,1.3168490000007296,5.0,click_train_02478_start_4374.724s_ici_5.0.wav,/Users/nfot413/dolphin_project/official_click_features/segments/click_train_02478_start_4374.724s_ici_5.0.wav
2479,2480,4376.000823,4376.156646,0.1558230000000549,4375.980823,4376.176646000001,0.195823000000928,35.0,click_train_02479_start_4376.001s_ici_35.0.wav,/Users/nfot413/dolphin_project/official_click_features/segments/click_train_02479_start_4376.001s_ici_35.0.wav
2480,2481,4376.156646,4376.236073,0.07942699999966862,4376.136646,4376.2560730000005,0.11942700000054174,5.0,click_train_02480_start_4376.157s_ici_5.0.wav,/Users/nfot413/dolphin_project/official_click_features/segments/click_train_02480_start_4376.157s_ici_5.0.wav
